Hypocotyl: Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol Glands,Leaf: Nectaries,Leaf: Petiole Pigmentation,Leaf: Shape,Plant: Stem Hairiness,Plant: Stem Pigmentation,Plant: Height (cm),Plant: Growth Habit,Bract: Type,Flower: Time of Flowering (50% of plants with at least one open flower),Flower: Petal Colour,Flower: Petal Spot,Flower: Stigma,Flower: Anther Filament Colouration,Flower: Pollen Colour,Flower: Male Sterility (Only for A and B lines),Boll: Bearing Habit,Boll: Colour,Boll: Shape (Longitudinal Section),Boll: Surface,Boll: Prominence of Tip,Boll: Opening,Boll: Weight of Seed cotton/boll (grams),Seed: Fuzz,Seed: Fuzz Colour,Seed: Index (100 seed weight in grams),Ginning (%),Fibre: Colour,Fibre: Length (2.5% span length in mm),Fibre: Strength (G/Tex),Fibre: Fineness (micronaire value),Fibre: Uniformity (%),Group
Present,Light Green,Medium,Flat,142,Present,Present,Palmate,Sparse,Absent,NA,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.8,Dense,White,7.5,33.33,White,25.2,20.4,2.4,47,BBR
Present (Dark),Green,Sparse,Cup,144,Present,Present,Palmate,Sparse,Present,78,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.6,Medium,Grey,8.5,32.48,White,28.7,19.3,2.3,43,BBR
Present (Dark),Red,Sparse,Cup,144,Present,Present,Palmate,Sparse,Present,78,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.6,Medium,Grey,8.5,32.48,White,28.7,19.3,2.3,43,BBR
Present (Dark),Green,Sparse,Cup,144,Present,Present,Palmate,Sparse,Present,78,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,3.6,Medium,Grey,8.5,32.48,White,28.7,19.3,2.3,43,BBR
Present (Dark),Red,Sparse,Cup,144,Present,Present,Palmate,Sparse,Present,78,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,3.6,Medium,Grey,8.5,32.48,White,28.7,19.3,2.3,43,BBR
Present,Light Green,Sparse,Flat,129,Present,Absent,Palmate,Sparse,Absent,75,Semi Spreading,Normal,52,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.3,Medium,Grey,8,38.18,White,25.2,21.3,2.8,49,BBR
Present,Light Green,Sparse,Flat,129,Present,Absent,Palmate,Sparse,Absent,75,Semi Spreading,Normal,52,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.3,Medium,Grey,8,38.18,White,25.2,21.3,2.8,49,BBR
Present,Light Green,Sparse,Flat,226,Present,Absent,Palmate,Medium,Absent,80,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,1.9,Dense,White,7,32.77,White,24.5,19,2.6,44,BBR
Present,Light Green,Dense - Sparse,Flat,160,Present,Absent,Palmate,Dense - Sparse,Absent,51,Semi Spreading,Normal,39,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,Grey,9,37.58,White,27.4,19.8,3.6,48,BBR
Present,Light Green,Dense - Sparse,Flat,160,Present,Absent,Palmate,Dense - Sparse,Absent,51,Semi Spreading,Normal,39,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,Grey,9,37.58,White,27.4,19.8,3.6,48,BBR
