Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
IC 359051 ,Present  ,Light Green,Sparse,Flat,Present (283/Sq. cm. leaf)   ,,Present,palmate,Sparse,Absent,58 cm ,,Normal, 34 days,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.2 , Medium, Grey,6.5 , 37.8,  White, 22.6, 19.2, 3.1, 49,VARIETY
IC 359054 ,Present  ,Light Green,Sparse,Flat,Present (231/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,65 cm ,,Normal, 35 days,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.6 , Medium, Grey,7.0 , 33.1,  White,23.7 , 21.0, 3.8, 52,VARIETY
IC 359055 ,Present  ,Light Green,Sparse,Flat,Present (222/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Present,64 cm ,,Normal,56 days ,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.7 , Dense, White,9.0 , 31.6,  White,28.3 , 20.5, 2.7, 45,VARIETY
IC 359056 ,Present  ,Light Green,Medium,Cup,Present (132/Sq. cm. leaf)   ,,Absent,Palmate,Medium,Absent,58 cm ,,Normal,57 days ,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.2 , Dense, White,9.0 , 34.7,  White, 27.2, 22.8, 3.6, 48,VARIETY
– IC 359056 S.SYM,Present  ,Light Green,Sparse,Flat,Present (143/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,55 cm ,,Normal,39 days ,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,3.1 , Medium, Grey,8.0 , 37.1,  White, 24.9, 21.2, 3.2, 51,VARIETY
IC 359059 ,Present  ,Light Green,Sparse,Flat,Present (301/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,64 cm ,,Normal,48 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.8 , Dense, White,7.5 , 26.6,  White,24.5 , 21.5, 3.1, 48,VARIETY
IC 359060 ,Present  ,Light Green,Sparse,Flat,Present (196/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,74 cm ,,Normal,48 days ,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.1 , Medium, Grey,7.0 , 35.9,  White,22.1 , 20.7, 3.5, 50,VARIETY
IC 359061 ,Present  ,Light Green,Sparse,Flat,Present (227/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,60 cm ,,Normal,56 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate/round(offtype),Smooth,Blunt,Open,2.1 , Medium, Grey,6.5 , 34.4,  White,22.8 , 20.8, 3.8, 53,VARIETY
IC 359062 ,Present  ,Light Green,Sparse,Flat,Present (209/Sq. cm. leaf)   ,,Absent,Palmate,Sparse,Absent,66 cm ,,Normal,46 days ,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.7 , Sparse, Grey,6.5 , 37.5,  White,22.8 , 19.1, 4.0, 52,VARIETY
IC 359065 ,Present  (Red),Dark red,Sparse,Flat,Present (213/Sq. cm. leaf)   ,,Present-dark,Palmate,Sparse,Present,64 cm ,,Normal,50 days ,Yellow+pink,Absent,Embedded,Absent,Cream+pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.4 , Medium, White,6.5 , 31.3,  White,21.1 , 18.3, 3.2, 52,VARIETY
