Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
Line 38,,Light Green,Sparse,Flat,Present (189/Sq. cm. leaf)   ,,Present,Palmate,medium,Absent,,,Normal,,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,round,Smooth,pointed,Open,,,,,,,,,,,NEW
Line 39,,Light Green,Sparse,Flat,Present (208/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,,,Normal,,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
V line 40,,Light Green,Sparse,Flat,Present (243/Sq. cm. leaf)   ,,present,Palmate,medium,Absent,,,Normal,,cream,Absent,exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed(offtype),Open,,,,,,,,,,,NEW
line 41,Present ((red) ,Light red,Medium,Flat,Present (148/Sq. cm. leaf)   ,,Present,Palmate,Medium,present,,,Normal,,Cream+pink,Absent,Embedded,Present,Cream+pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 42,,Light Green,Medium,cup,Present (151/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,,,Normal,,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 43,,Light Green,Sparse,Flat,Present (159/Sq. cm. leaf)   ,,Present,Palmate,medium,Absent,,,Normal,,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 44,,Light Green,medium,Flat,Present (112/Sq. cm. leaf)  ,,Present,Palmate,medium,Absent,,,Normal,,Cream,Absent,exerted,absent,Cream,Absent,Solitary,Green,Ovate,Smooth,                  pointed,Open,,,,,,,,,,,NEW
Line 45,,Light Green,Sparse,Flat,Present (181/Sq. cm. leaf)   ,,Absent,Palmate,Sparse,Absent,,,Normal,,Yellow,Absent,Embedded,Present,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 46,,Light Green,Sparse,Flat,Present (169/Sq. cm. leaf)   ,,Present,Palmate,medium,Absent,,,Normal,,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,,,,,,,,,,,NEW
line 47,,Light Green,Sparse,Flat,Present (202/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,,,Normal,,Cream,Absent,Exerted,absent,Cream,Absent,Solitary,Green,elliptic,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 48,,Light Green,Sparse,Flat,Present (126/Sq. cm. leaf)   ,,Present,Lanceolate,Sparse,Absent,,,Normal,,Cream,Absent,Embedded,absent,Cream,Absent,Solitary,Green,round,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 49,,Light Green,Sparse,Flat,Present (142/Sq. cm. leaf)   ,,Present,degitate,Sparse,Absent,,,Normal,,yellow,Absent,Embedded,absent,Cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,,,,,,,,,,,NEW
Line 50,Present  ,Light Green,medium,Flat,Present (126/Sq. cm. leaf)   ,,Present,digitate,medium,Absent,,,Normal,,yellow,Absent,Embedded,absent,Cream,Absent,Solitary,Green,Ovate,pitted,pointed,Open,,,,,,,,,,,NEW
"JK-258 LYC,G ",Present  ,               Light Green,sparse,Flat,Present (176/Sq. cm leaf)   ,Present ,Present,Palmate,Medium,absent,71 cm  , SS,Normal,52 Days (Medium)    ,cream,Absent,exerted,Absent,yellow,Absent,Solitary,Green,round,Smooth,pointed,Open,3.9 , Dense , Grey ,7.5 , 36.78, White ,25.4 , 19.6, 3.2, 48,JBWR
"JK- 259 CC,G ",Present  ,               Light Green,sparse,Flat,Present (218/Sq. cm leaf)   ,Present ,Present,Palmate,Medium,absent,74cm  , SS,Normal, 53 Days (Medium)   ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open, 3.8, Dense , Grey ,8.0 , 35.38, White ,26.2 , 20.9, 3.3, 51,JBWR
JK-260 LYC  ,Present  ,               Light Green,sparse,Flat,Present (152/Sq. cm leaf)   ,Present ,Present,Palmate,sparse,absent,65cm , SS,Normal,52 Days (Medium)    ,Yellow,Absent,exerted,Absent,cream,Absent,Solitary,Green,round,Smooth,Blunt,Open,3.2 ,  Medium , Grey,7.5 , 38.08,   White,24.1 , 19.9, 2.5, 48,JBWR
"JK-258 LYC,H ",Present  ,               Light Green,sparse,Flat,Present (164/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,75 cm  , SS,Normal,49 Days (Early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1 , Sparse , Grey ,6.0 , 34.00, White ,24.4 , 19.7, 2.6, 49,JBWR
"JK-258 LYC, H-1 (",Present  ,Green,Medium,Flat,Present (185/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,66 cm  , SS,Normal,56 Days (Medium)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.6 , Medium , Grey ,8.0 , 40.28, White ,24.2 , 20.4, 3.6, 50,JBWR
70 JK-344 (,Present  ,Green,Medium,Flat,Present (217/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,75 cm  , SS,Normal,52 Days (Medium)    ,Yellow-many offtypes,Absent,Embedded,Absent,Yellow/cream-offtypes,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open, 2.2, Medium , Grey ,7.5 , 40.14, White , 23.5, 20.6, 3.4, 50,JBWR
"JK-345,CSH ",Present  ,               Light Green,sparse,Flat,Present (130/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,52 cm  , SS,Normal,49 Days (Early)    ,cream,Absent,exerted,Absent,yellow,Absent,Solitary,Green,round,Smooth,Blunt,Open,3.1 , Dense , White ,7.0 , 40.00, White ,23.3 , 19.7, 3.5, 50,JBWR
JK-345-LYC  ,Present  ,               Light Green,sparse,Flat,Present (241/Sq. cm leaf)   ,Present ,Present-faint,,sparse,absent, 75 cm , SS,Normal,34 Days (Early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green(offtypes),round,Smooth,pointed,Open,2.5 ,Medium   ,Grey  ,7.0 , 39.15, White , 25.5, 20, 2.7, 49,JBWR
M-1 ,Present  ,               Light Green,sparse,Flat,Present (149/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,, SS,Normal,56 Days (Medium)    ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,pointed,Open, 1.9, Sparse , Grey ,5.5 , 51.75,   White,19.9 , 18.0, 3.2, 55,JBWR
M-7 ,Present  ,Green,sparse,Flat,Present (162/Sq. cm leaf)   ,Present ,Present-faint,Palmate,sparse,absent,67 cm  , SS,Normal,47 Days (Early)    ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.1 , Medium , Grey ,7.0 , 34.25,   White,25.4 , 21.2, 2.7, 49,JBWR
75  M-15 ,Present  ,              Green,Medium,Flat,Present (201/Sq. cm leaf)   ,Present ,Present-deep,Palmate,Medium,Present -faint,75cm  , SS,Normal,49 Days (Early)    ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.2 , Medium , Grey ,7.0 , 37.93, White , 24.7,21.2, 3.1,50 ,JBWR
SP M-15 (,Present  ,               Light Green,Medium,Flat,Present (190/Sq. cm leaf)   ,Present ,Present-faint,Palmate,Medium,absent,90 cm  , SS,Normal,49 Days (Early)     ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open, 2.8, Medium, Grey ,7.5 , 37.39, White ,24.5 , 18.9, 3.4, 52,JBWR
M-18 ,Present  ,               Light Green,sparse,Flat,Present (228/Sq. cm leaf)   ,Present ,Present-faint,Palmate,sparse,absent,70 cm  , SS,Normal,52 Days (Medium)     ,cream,Absent,Embedded,Absent,Yellow(many offtypes),Absent,Solitary,Green,Ovate,Smooth,Blunt,Open, 2.9, Medium , Grey ,8.5 , 36.30, White , 25.1, 19.3, 2.7, 47,JBWR
M-15 ,Present  ,               Green,sparse,Flat,Present (143/Sq. cm leaf)   ,Present ,Present-faint,Palmate,sparse,absent,65 cm  , SS,Normal,49 Days (Early)     ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,round,Smooth,pointed,Open,3.7 , Medium , Grey ,7.5 , 36.90, White , 27.4, 20.7, 2.7, 46,JBWR
M-19 SP  ,Present  ,               Light Green,sparse,Flat,Present (142/Sq. cm leaf)   ,Present ,Present-faint,Palmate,sparse,absent, 55 cm , SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.1 , Medium , Grey , 8.0, 34.57, White ,24.5 , 20.5, 2.7, 48,JBWR
) LYC-M-26 ,Present  ,                         Green,sparse,Flat,Present (158/Sq. cm leaf)   ,Present ,Present-faint,Palmate,sparse,absent,62 cm   , SS,Normal,,Cream/Yellow-offtypes,Absent,Embedded/exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.6 , Medium , Grey ,7.5 , 39.81, White ,25 .5, 21.1,3.5 , 48,JBWR
M-26 SP ,Present  ,               Light Green,sparse,Flat,Present (131/Sq. cm. leaf) ,Present ,absent,Palmate,sparse,absent,66 cm , SS,Normal,,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,rounded,Smooth,pointed,Open,2.3 ,Medium ,Grey ,7.0 , 35.9, White ,28.1 , 22.4, 2.7, 46,JBWR
AV-3646 ,Present  ,               Light Green,sparse,Flat,Present (212/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,85 cm , SS,Normal,,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.4 , Medium, Grey,6.5 , 37.8,   White,28.0 , 19.3, 2.6, 44,JBWR
AV-3649 SP ,Present  ,               Light Green,sparse,Flat,Present (160/Sq. cm. leaf)  ,Present ,Present-faint,Palmate,Medium,absent, 83 cm, SS,Normal,,Yellow,Absent,Exerted,Absent,yellow,Absent,Solitary,Green,rounded,Smooth,pointed,Open, 2.3, Medium, Grey,8.0 , 37.82, White , 25.6, 19.0, 3.4, 47,JBWR
AV-3670 ,Present ,               Light Green,sparse,cup,Present (227/Sq. cm. leaf)  ,Present ,Present-faint,Palmate,sparse,absent, 80 cm, SS,Normal,,Yellow,Absent,Exerted,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.8 , Medium, Grey,7.5 , 40.2, White ,24.7 , 19.5, 3.2, 50,JBWR
SP AV 3670 ,Present  ,Green,sparse,Flat,Present (159/Sq. cm. leaf)  ,Present ,Present-faint,Palmate,sparse,absent, 68 cm, SS,Normal,,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,rounded,Smooth,pointed,Open,3.1 , Medium, Grey,8.0 , 34.5, White ,27.1 , 21.8, 2.9, 47,JBWR
AV 3670 (,Present  ,               Light Green,sparse,Flat,Present (220/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,68 cm , SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,rounded,Smooth,pointed,Open,2.6 , Medium, Grey,7.5 , 33.5, White ,25.1 , 18.4, 4.1, 49,JBWR
G.Cot-10 ,Present  ,               Light Green,sparse,Flat,Present (108/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,, SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.7 ,Medium , White,7.5 ,33.8 , White ,Lint not obtained in sufficient quantity for analysis,,,,JBWR
G.Cot-12 ,Present  ,               Light Green,sparse,Flat,Present (118/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,75 cm , SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.2 ,Medium , Grey,7.5 , 39.1, White , 25.0, 21.2, 3.1, 50,JBWR
G.Cot-100 ,Present  ,               Light Green,sparse,Flat,Present (171/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,68 cm , SS,Normal,,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.4 , Medium , Grey,6.5 , 35.5, White ,26.2 , 19.5, 2.7, 48,JBWR
NSP-18 ,Present  ,               Green,sparse,Flat,Present (208/Sq. cm. leaf)  ,Present ,absent,Palmate,sparse,absent,42 cm , SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,1.8 , Dense, White,10.0 , 31.4, White ,29.6 , 21.2, 2.7, 42,JBWR
) MESR-17,Present  ,               Light Green,sparse,Flat,Present (158/Sq. cm. leaf)  ,Present ,Present,Palmate,sparse,-,54 cm , SS,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open, 1.4, Medium, White,6.0 , 36, White ,23.3 , 20.7, 2.7, 52,JBWR
I -81,Present  ,Green,dense,cup,Present (260/Sq. cm. leaf)  ,Present ,Present,Palmate,dense,absent,60 cm , SS,Normal,41 day (early)       ,cream,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.6 , Medium, Grey,8.0 , 37.5, White ,25.7 , 20.1, 2.9, 50,JBWR
PKV 0802 ,Present  ,               Light Green,sparse,Flat,Present (105/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,55 cm , SS,Normal,56 day (Medium)       ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,blunt,Open,2.2 , Medium, Grey,7.0 , 39.4, White ,21.5 , 19.3, 4.1, 50,JBWR
PKV 0804 ,Present  ,               Light Green,medium,Flat,Present (238/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,68 cm , SS,Normal,48 day (early)       ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,3.4 ," Mediu,m", Grey,8.0 , 36.2, White ,24.5 , 19.7, 3.3, 49,JBWR
SP PKV 0804 ,Present  ,               Light Green,sparse,Flat,Present (201/Sq. cm. leaf)   ,Present ,Present,Palmate,sparse,absent,72 cm , SS,Normal,53 day (Medium)       ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open, 2.6, Medium, White,6.5 , 35.4, White ,21.3 , 20.3, 3.7, 52,JBWR
PKV 053 ,Present  ,               Light Green,sparse,Flat,Present (184/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,sparse,absent,, SS,Normal, 40 day (early)      ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.5 , Medium, White, 9.0, 33, White ,27.4 , 21.3, 4.6, 49,JBWR
PKV 053 SP ,Present  ,               Light Green,sparse,Flat,Present (163/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,sparse,absent,, SS,Normal, 53 day (Medium)      ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,Pointed/blunt(?),Open,2.6 , Medium, Grey,7.0 , 36.6,   White,26.2 , 19.6, 3.1, 47,JBWR
GISC II 77-4  ,Present  ,               Green,Medium,Cup,Present (142/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent,, SS,Normal,52 day (Medium)       ,Yellow,Absent,Embedded,present,cream,Absent,Solitary,Green,Ovate/round (offtype),Smooth/pointed,pointed,Open,3.7 , Medium, Grey,8.0 , 32.4, White , 25.5, 17.4, 4.0, 47,JBWR
EARLY GISC II 77-4,Present  ,               Light Green,sparse,Flat,Present (196/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,66 cm , SS,Normal,45 day (early)       ,Yellow,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.2 , Medium, White,8.5 , 41.9,   White,24.4 , 21.3, 3.5, 51,JBWR
GISC II-81-13 ,Present  ,               Light Green,sparse,Flat,Present (162/Sq. cm. leaf)   ,Present ,absent,Palmate,sparse,absent,55 cm , SS,Normal,40 days (early) ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.8 , Sparse, Grey,8.5 , 36.6, White ,26.6 , 21.2, 2.9, 46,JBWR
76 IH-22 ,Present  ,               Light Green,sparse,Flat,Present (173/Sq. cm. leaf)   ,Present ,Present-good,Palmate,medium,absent,61 cm , SS,Normal,52 day (Medium)       ,cream,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open, 3.3, Medium, White,7.5 , 31.3, White ,23.8 , 21.4, 3.1, 50,JBWR
76 IH-23  ,Present  ,               Light Green,medium,Flat,Present (120/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,86 cm , SS,Normal,   55 day (Medium)          ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,2.4 , Medium, Grey,8.0 , 39.0, White ,23.1 , 18.5, 3.2, 49,JBWR
ACHHY-16 ,Present  ,               Light Green,medium,Flat,,Present ,Present-faint,Palmate,medium,absent,88 cm , SS,Normal,      56 day (Medium)      ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,pointed,Open,2.3 , Medium, White,6.5 , 34.8, White ,25.4 , 20.2, 3.1, 46,JBWR
ACH 703 ,Present  ,               Light Green,medium,Flat,Present (165/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,82 cm , SS,Normal,53 days (Medium)      ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,3.1 , Medium, Grey, 8.5, 30.3,   White, 24.5, 21.6, 3.2, 48,JBWR
ACH 703 SP ,Present  ,               Light Green,medium,Flat,Present (122/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent, 70 cm, SS,Normal,48 days (early)      ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed(?),Open,3.1 , Medium, Grey, 8.5, 33.2,   White,25.4 , 18.3, 3.8, 48,JBWR
36-YY ,Present  ,               Light Green,nmedium,Flat,Present (181/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,82 cm , SS,Normal,45 days (early)      ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,2.1 , Medium, White,7.0 , 34.3, White ,25.9 , 22.2, 2.6, 49,JBWR
GISV-12 ,Present  ,               Light Green,medium,Flat,Present (91/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent,80 cm , SS,Normal,48 days (early)      ,Yellow,Absent,exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,2.3 , Medium, Grey,7.0 , 33.3, White ,24.8 , 21.6, 4.2, 52,JBWR
GJHV-34 ,Present  ,               Light Green,sparse,Flat,Present (178/Sq. cm. leaf)   ,Present ,absent,Palmate,sparse,absent, 65 cm, SS,Normal,45 days (early)     ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,Blunt/pointed(?),Open, 2.5, Medium, Brown,8.0 , 37.3,Brown ,25.0 , 18.5, 3.3, 46,JBWR
GJHV-53 ,Present  ,               Light Green,medium,Flat,Present (227/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent, 75 cm, SS,Normal,34 days (early)     ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,blunt,Open,2.7 , Medium, White,7.5 , 36.5, White ,21.6 , 18.6, 3.8, 51,JBWR
JK-54(,Present  ,               Light Green,sparse,Flat,Present (113/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,75 cm , SS,Normal,49 days (early)     ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.6 , Medium, Grey,6.5 , 34.2, White , 24.0, 19.5, 4.3, 49,JBWR
GISV-61 ,Present  ,               Light Green,sparse,Flat,Present (210/Sq. cm. leaf)   ,Present ,absent,Palmate,sparse,absent,83 cm , SS,Normal,49 days (early)     ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/Pointed(?),Open,2.4 , Medium, Grey,6.5 , 35.8, White ,23.7 , 19.5, 4.1, 51,JBWR
GISV-82 ,Present  ,               Light Green,sparse,Flat,Present (123/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,sparse,absent,75 cm , SS,Normal,34 days (early)     ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Round/ovate(?),Smooth,Blunt/pointed(?),Open,3.3 , Dense, White,9.5 , 32.3, White ,27.0 , 20.7, 3.4, 47,JBWR
33GISV-86-58 ,Present  ,               Light Green,medium,Flat,Present (138/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,88 cm , SS,Normal, 49 days (early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed(?),Open,2.6 , Medium, Grey,7.5 , 39.6, White , 24.6, 19.0, 3.4, 50,JBWR
) GISV-127 ,Present  ,               Light Green,medium,Flat,Present (183/Sq. cm. leaf)   ,Present ,Present-faint,Palmate,medium,absent, 60 cm, SS,Normal,49 days (early)    ,cream,Absent,Exerted,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,, Medium, White,8.5 , 34.7, White ,29.4 , 18.6, 3.5, 44,JBWR
GJHV-142 ,Present  ,               Light Green,sparse,Flat,Present (134/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,74 cm , SS,Normal,45 days (early)    ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,blunt,Open,, Medium, Grey,9.0 , 35.8, White ,25.5 , 22.4, 3.2, 47,JBWR
36P 92/260 ,Present  ,               Light Green,sparse,Flat,Present (129/Sq. cm. leaf)   ,Present ,absent,Palmate,sparse,absent, 64 cm, SS,Normal,45 days (early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,,Medium , Grey,6.0 , 42.7, White , 23.3, 21.0, 3.6, 52,JBWR
GJHV-270 ,Present  ,               Light Green,sparse,Flat,Present (183/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent,85 cm , SS,Normal,49 days (early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,blunt,Open,, Medium, White,8.0 , 36.4, White ,25.6 , 19.0, 2.9, 50,JBWR
L-11 ,Present  ,               Light Green,sparse,Flat,Present (140/Sq. cm. leaf)   ,Present ,absent,Palmate,sparse,absent,58 cm , SS,Normal,50 days (medium)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,2.9 , Medium, Grey,7.5 , 35.8, White ,25.2 , 18.2, 3.3, 47,JBWR
L-604 ,Present  ,               Light Green,sparse,Flat,Present (143/Sq. cm. leaf)   ,Present ,Present,Palmate,sparse,absent, 81 cm, SS,Normal,41 days (early)   ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,round,Smooth,pointed,Open,2.8 ,Medium , Grey,7.5 , 35, White , 24.0, 18.4, 3.0, 48,JBWR
L-751 ,Present  ,               Light Green,sparse,Flat,Present (162/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,89 cm , SS,Normal,53 days (medium)   ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.9 , Medium, White,8.5 , 39.8, White , 24.5, 19.8, 3.2, 50,JBWR
BN RED ,Present  ,red,sparse,Flat,Present (193/Sq. cm. leaf)   ,Present ,Present-dark,Palmate,medium,Present-dark,90 cm , SS,Normal,49 days (early)   ,Red n white,Absent,Embedded,Absent,Cream & pink,Absent,Solitary,red,Ovate,Smooth,blunt,Open,2.8 , Medium, Grey,6.5 , 35.3, White ,25.0 , 20.8, 2.9, 51,JBWR
L-861 ,Present  ,,,,Present (167/Sq. cm. leaf)  ,,,,,,,,,56 days (medium)   ,,,,,,,,,,,,,1.5 , Medium, White,6.0 , 23.5,,Lint quantity not sufficient for analysis ,,,,JBWR
G.Cot 16 (,Present  ,               Light Green,sparse,Flat,Present (151/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent, 75 cm, SS,Normal,56 days (medium)   ,cream,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,2.7 ,Dense,Grey,8,35.3, White , 25.2, 20.9, 3.2, 49,JBWR
IC 38562 ,Present  ,               Light Green,medium,Flat,Present (118/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent, 85 cm, SS,Normal,34 days (Early)   ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.3 , Medium, Grey,6.0 , 38.3, White , 23.9, 20.9, 2.9, 52,JBWR
47 BWR 28 ,Present  ,               Light Green,Medium-dense,Flat,Present (152/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent,65 cm , SS,Normal,35 days (medium)   ,Yellow,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.8 , Medium, Grey,7.0 , 35.5, White ,25.7 , 20.3, 3.3, 51,JBWR
BWR 58 ,Present  ,              Green,sparse,Flat,Present (166/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,80 cm , SS,Normal,53 days (medium)   ,Yellow,Absent,Embeded,Absent,cream,Absent,Solitary,Green,round,Smooth,pointed,Open,2.4 , Sparse, Grey,5.5 , 36.9, White ,25.2 , 20.3, 3.9, 51,JBWR
